Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Abalistes_stellatus_E00936		Harmless	Not Evaluated	NE						0	0	1	reef-associated		7	350	Tropical			Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Abbottina_rivularis2_I2681-158	Chinese false gudgeon	Harmless	Not Evaluated	NE						1	1	0	benthopelagic				Subtropical			Asia - Inland waters; Pacific, Northwest	native
Ablennes_hians_E00162	Flat needlefish	Harmless	Least Concern	LC	minor commercial		yes			0	1	1	reef-associated	oceanodromous	0	3	Subtropical	4.8		Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Abramites_hypselonotus_P02_F10_RG26	Marbled headstander	Harmless	Not Evaluated	NE	subsistence fisheries				commercial	1	0	0	pelagic				Tropical			America, South - Inland waters	endemic
Abudefduf_saxatilis_E00820	Sergeant-major	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	0	20	Subtropical	0.2		Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Abudefduf_sexfasciatus_E00881	Scissortail sergeant	Harmless	Least Concern	LC	minor commercial				public aquariums	0	0	1	reef-associated	non-migratory	1	20	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Pacific, Southeast	native
Abudefduf_vaigiensis_E00890	Indo-Pacific sergeant	Reports of ciguatera poisoning	Least Concern	LC	subsistence fisheries				commercial	0	0	1	reef-associated	oceanodromous	1	15	Tropical			Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthaphritis_unoorum_N24985		Harmless	Not Evaluated	NE						0	0	1	demersal			100	Tropical			Pacific, Northwest	endemic
Acantharchus_pomotis_G01185	Mud sunfish	Harmless	Least Concern	LC						1	0	0	demersal				Subtropical			America, North - Inland waters	endemic
Acanthemblemaria_aspera_E00320	Roughhead blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated				Subtropical			Atlantic, Western Central	endemic
