Betancur_R_ID	FishBase_ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined_not_examined	Monophyly
Abalistes_stellatus_E00936	Abalistes-stellatus	Clade42	Balistidae		Balistoidei	Tetraodontiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Abbottina_rivularis2_I2681-158	Abbottina-rivularis	Clade11d	Gobionidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ablennes_hians_E00162	Ablennes-hians	Clade41	Belonidae		Belonoidei	Beloniformes	Atherinomorphae		Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Abramites_hypselonotus_P02_F10_RG26	Abramites-hypselonotus	Clade12b	Anostomidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Abudefduf_saxatilis_E00820	Abudefduf-saxatilis	Clade41	Pomacentridae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Abudefduf_sexfasciatus_E00881	Abudefduf-sexfasciatus	Clade41	Pomacentridae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Abudefduf_vaigiensis_E00890	Abudefduf-vaigiensis	Clade41	Pomacentridae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthaphritis_unoorum_N24985	Acanthaphritis-unoorum	Clade42	Percophidae			Pempheriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Awaiting formal description	Examined	Monotypic
Acantharchus_pomotis_G01185	Acantharchus-pomotis	Clade42	Centrarchidae		Centrarchoidei	Centrarchiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthemblemaria_aspera_E00320	Acanthemblemaria-aspera	Clade41	Chaenopsidae			Blenniiformes	Blenniimorphae		Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies
Acanthemblemaria_paula_E00295	Acanthemblemaria-paula	Clade41	Chaenopsidae			Blenniiformes	Blenniimorphae		Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies
Acanthicus_adonis_P02_B10_RG55	Acanthicus-adonis	Clade14a	Loricariidae		Loricarioidei	Siluriformes	Siluriphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthocepola_sp_M01669	Acanthocepola-sp	Clade42	Cepolidae			Priacanthiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthochaenus_luetkenii_M30097	Acanthochaenus-luetkenii	Clade32b	Stephanoberycidae		Stephanoberycoidei	Beryciformes				Berycimorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Acanthochromis_polyacanthus_E00466	Acanthochromis-polyacanthus	Clade41	Pomacentridae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthocobitis_botia_I2718-54	Acanthocobitis-botia	Clade11c	Nemacheilidae		Cobitoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthocybium_solandri_E00927	Acanthocybium-solandri	Clade36	Scombridae			Scombriformes			Pelagiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies
Acanthodoras_spinosissimus_P02_C08_RG17	Acanthodoras-spinosissimus	Clade14c	Doradidae		Siluroidei	Siluriformes	Siluriphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthopagrus_catenula_E00953	Acanthopagrus-catenula	Clade42	Sparidae			Spariformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthopagrus_latus_M01638	Acanthopagrus-latus	Clade42	Sparidae			Spariformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthostracion_quadricornis_E00760	Acanthostracion-quadricornis	Clade42	Ostraciidae		Ostracioidei	Tetraodontiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthurus_bahianus_E00005	Acanthurus-bahianus	Clade42	Acanthuridae			Acanthuriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthurus_guttatus_E00709	Acanthurus-guttatus	Clade42	Acanthuridae			Acanthuriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthurus_leucosternon_E00880	Acanthurus-leucosternon	Clade42	Acanthuridae			Acanthuriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthurus_lineatus_E00889	Acanthurus-lineatus	Clade42	Acanthuridae			Acanthuriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acanthurus_triostegus_E00711	Acanthurus-triostegus	Clade42	Acanthuridae			Acanthuriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acantopsis_sp_I2577-JWA0327	Acantopsis-sp	Clade11c	Cobitidae		Cobitoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acestrocephalus_ginesi_P1_B01_RG31	Acestrocephalus-ginesi	Clade12b	Characidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acestrorhynchus_microlepis_P1_H03_RG88	Acestrorhynchus-microlepis	Clade12b	Acestrorhynchidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Acheilognathus_tonkinensis_I2578-CCS0001	Acheilognathus-tonkinensis	Clade11d	Acheilognathidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Achirus_lineatus_E00605	Achirus-lineatus	Clade40	Achiridae		Pleuronectoidei	Pleuronectiformes			Carangaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acipenser_fulvescens_G01187	Acipenser-fulvescens	Clade03	Acipenseridae			Acipenseriformes														Chondrostei	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acnodon_oligacantus_P02_A08_RG16	Acnodon-oligacanthus	Clade12b	Serrasalmidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
