url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Leucoraja-erinacea.html	Leucoraja erinacea (Mitchill,  1825)	Little skate	Harmless	Near Threatened 	NT	NA	NA	NA	NA	NA	Marine	demersal	oceanodromous	0	329	Temperate	NA	12 years
https://www.fishbase.se/summary/Callorhinchus-milii.html	Callorhinchus milii Bory de Saint-Vincent,  1823	Ghost shark	Harmless	Least Concern 	LC	commercial	NA	NA	NA	NA	Marine;brackish	demersal	oceanodromous	0	227	Subtropical	NA	NA
https://www.fishbase.se/summary/Latimeria-chalumnae.html	Latimeria chalumnae Smith,  1939	Coelacanth	Harmless	Critically Endangered 	CR	of no interest	NA	NA	NA	NA	Marine	demersal	non-migratory	150	700	Deep-water	95.0 kg	48 years
https://www.fishbase.se/summary/Neoceratodus-forsteri.html	Neoceratodus forsteri (Krefft,  1870)	Australian lungfish	Harmless	Not Evaluated	NA	subsistence fisheries	NA	NA	NA	NA	Freshwater	demersal	potamodromous	NA	NA	Tropical	40.0 kg	NA
https://www.fishbase.se/summary/Protopterus-aethiopicus.html	Protopterus aethiopicus Heckel,  1851	Marbled lungfish	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	NA	Freshwater	demersal	NA	0	60	Tropical	17.0 kg	NA
https://www.fishbase.se/summary/Lepidosiren-paradoxa.html	Lepidosiren paradoxa Fitzinger,  1837	South American lungfish	Harmless	Not Evaluated	NA	subsistence fisheries	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Subtropical	NA	8 years
https://www.fishbase.se/summary/Xenopus-tropicalis.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
https://www.fishbase.se/summary/Monodelphis-domestica.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
https://www.fishbase.se/summary/Mus-musculus.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
https://www.fishbase.se/summary/Homo-sapiens.html	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
https://www.fishbase.se/summary/Erpetoichthys-calabaricus.html	Erpetoichthys calabaricus Smith,  1865	Reedfish	Harmless	Near Threatened 	NT	of no interest	NA	NA	NA	commercial	Freshwater;brackish	demersal	NA	0	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Polypterus-senegalus.html	Polypterus senegalus Cuvier,  1829	Gray bichir	Harmless	Not Evaluated	NA	commercial	NA	NA	NA	NA	Freshwater	demersal	potamodromous	NA	NA	Tropical	207.00 g	NA
https://www.fishbase.se/summary/Polypterus-ornatipinnis.html	Polypterus ornatipinnis Boulenger,  1902	Ornate bichir	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	public aquariums	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Polyodon-spathula.html	Polyodon spathula (Walbaum,  1792)	Mississippi paddlefish	NA	Vulnerable 	VU	commercial	NA	NA	NA	public aquariums	Freshwater	demersal	potamodromous	2	NA	Subtropical	90.7 kg	55 years
https://www.fishbase.se/summary/Acipenser-fulvescens.html	Acipenser fulvescens Rafinesque,  1817	Lake sturgeon	Harmless	Least Concern 	LC	commercial	experimental	yes	NA	public aquariums	Freshwater;brackish	demersal	potamodromous	5	9	Temperate	125.0 kg	152 years
https://www.fishbase.se/summary/Scaphirhynchus-platorynchus.html	Scaphirhynchus platorynchus (Rafinesque,  1820)	Shovelnose sturgeon	Harmless	Vulnerable 	VU	NA	NA	yes	NA	public aquariums	Freshwater	demersal	potamodromous	NA	NA	Temperate	4.9 kg	43 years
https://www.fishbase.se/summary/Scaphirhynchus-albus.html	Scaphirhynchus albus (Forbes  &  Richardson,  1905)	Pallid sturgeon	Harmless	Endangered 	EN	NA	NA	NA	NA	NA	Freshwater	demersal	potamodromous	NA	NA	Subtropical	130.0 kg	41 years
https://www.fishbase.se/summary/Amia-calva.html	Amia calva Linnaeus,  1766	Bowfin	Harmless	Least Concern 	LC	of no interest	NA	yes	NA	public aquariums	Freshwater	demersal	NA	NA	NA	Subtropical	9.8 kg	30 years
https://www.fishbase.se/summary/Atractosteus-spatula.html	Atractosteus spatula (Lacepède,  1803)	Alligator gar	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	public aquariums	Freshwater;brackish	demersal	NA	0	NA	Subtropical	137.0 kg	NA
https://www.fishbase.se/summary/Atractosteus-tropicus.html	Atractosteus tropicus Gill,  1863	Tropical gar	Poisonous to eat 	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Tropical	2.9 kg	NA
https://www.fishbase.se/summary/Lepisosteus-platostomus.html	Lepisosteus platostomus Rafinesque,  1820	Shortnose gar	Harmless	Least Concern 	LC	NA	NA	yes	NA	public aquariums	Freshwater	demersal	NA	NA	NA	Subtropical	2.6 kg	20 years
https://www.fishbase.se/summary/Lepisosteus-oculatus.html	Lepisosteus oculatus Winchell,  1864	Spotted gar	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Freshwater;brackish	demersal	NA	NA	NA	Subtropical	4.4 kg	18 years
https://www.fishbase.se/summary/Lepisosteus-osseus.html	Lepisosteus osseus (Linnaeus,  1758)	Longnose gar	Other	Least Concern 	LC	minor commercial	NA	yes	NA	public aquariums	Freshwater;brackish	demersal	NA	0	NA	Subtropical	22.8 kg	36 years
https://www.fishbase.se/summary/Megalops-atlanticus.html	Megalops atlanticus Valenciennes,  1847	Tarpon	Reports of ciguatera poisoning 	Vulnerable 	VU	commercial	commercial	yes	NA	public aquariums	Marine;freshwater;brackish	reef-associated	amphidromous	0	40	Subtropical	161.0 kg	55 years
https://www.fishbase.se/summary/Elops-saurus.html	Elops saurus Linnaeus,  1766	Ladyfish	Harmless	Least Concern 	LC	minor commercial	NA	yes	usually	NA	Marine;brackish	reef-associated	amphidromous	0	50	Subtropical	10.1 kg	NA
https://www.fishbase.se/summary/Albula-glossodonta.html	Albula glossodonta (Forsskål,  1775)	Roundjaw bonefish	Harmless	Vulnerable 	VU	minor commercial	NA	yes	usually	NA	Brackish	reef-associated	oceanodromous	NA	10	Tropical	8.6 kg	NA
https://www.fishbase.se/summary/Albula-vulpes.html	Albula vulpes (Linnaeus,  1758)	Bonefish	Reports of ciguatera poisoning 	Near Threatened 	NT	minor commercial	NA	yes	usually	NA	Marine;brackish	reef-associated	amphidromous	0	84	Subtropical	10.0 kg	NA
https://www.fishbase.se/summary/Notacanthus-chemnitzii.html	Notacanthus chemnitzii Bloch,  1788	Snubnosed spiny eel	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	benthopelagic	NA	125	3285	Deep-water	NA	NA
https://www.fishbase.se/summary/Halosauropsis-macrochir.html	Halosauropsis macrochir (Günther,  1878)	Abyssal halosaur	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	bathydemersal	NA	1100	3300	Deep-water	NA	NA
https://www.fishbase.se/summary/Aldrovandia-affinis.html	Aldrovandia affinis (Günther,  1877)	Gilberts halosaurid fish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	benthopelagic	NA	730	2560	Deep-water	NA	NA
https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html	Eurypharynx pelecanoides Vaillant,  1882	Pelican eel	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	bathypelagic	NA	500	7625	Deep-water	NA	NA
https://www.fishbase.se/summary/Saccopharynx-ampullaceus.html	Saccopharynx ampullaceus (Harwood,  1827)	Gulper eel	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Marine	bathypelagic	NA	0	3000	Deep-water	NA	NA
https://www.fishbase.se/summary/Nemichthys-scolopaceus.html	Nemichthys scolopaceus Richardson,  1848	Slender snipe eel	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	bathypelagic	NA	100	4337	Deep-water	NA	NA
https://www.fishbase.se/summary/Anguilla-rostrata.html	Anguilla rostrata (Lesueur,  1817)	American eel	Harmless	Endangered 	EN	commercial	commercial	yes	NA	public aquariums	Marine;freshwater;brackish	demersal	catadromous	0	464	Subtropical	7.3 kg	43 years
https://www.fishbase.se/summary/Serrivomer-beanii.html	Serrivomer beanii Gill  &  Ryder,  1883	Stout sawpalate	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	NA	Marine	bathypelagic	NA	0	6000	Deep-water	NA	NA
https://www.fishbase.se/summary/Echidna-nebulosa.html	Echidna nebulosa (Ahl,  1789)	Starry moray	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Marine	reef-associated	NA	1	48	Tropical	NA	NA
https://www.fishbase.se/summary/Conger-oceanicus.html	Conger oceanicus (Mitchill,  1818)	American conger	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	NA	Marine	demersal	oceanodromous	1	477	Subtropical	40.0 kg	NA
https://www.fishbase.se/summary/Muraenesox-cinereus.html	Muraenesox cinereus (Forsskål,  1775)	Daggertooth pike conger	Harmless	Not Evaluated	NA	highly commercial	commercial	yes	occasionally	NA	Marine;freshwater;brackish	demersal	oceanodromous	NA	800	Subtropical	NA	15 years
https://www.fishbase.se/summary/Myrichthys-maculosus.html	Myrichthys maculosus (Cuvier,  1816)	Tiger snake eel	Harmless	Not Evaluated	NA	NA	NA	NA	NA	commercial	Marine	reef-associated	NA	0	262	Tropical	NA	NA
https://www.fishbase.se/summary/Ophichthus-cephalozona.html	Ophichthus cephalozona Bleeker,  1864	Dark-shouldered snake eel	Harmless	Not Evaluated	NA	of no interest	NA	NA	NA	NA	Marine	reef-associated	NA	1	30	Tropical	NA	NA
https://www.fishbase.se/summary/Hiodon-tergisus.html	Hiodon tergisus Lesueur,  1818	Mooneye	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	pelagic	NA	NA	NA	Temperate	907.00 g	10 years
https://www.fishbase.se/summary/Hiodon-alosoides.html	Hiodon alosoides (Rafinesque,  1819)	Goldeye	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Freshwater	pelagic	potamodromous	NA	NA	Temperate	1.7 kg	14 years
https://www.fishbase.se/summary/Pantodon-buchholzi.html	Pantodon buchholzi Peters,  1876	Freshwater butterflyfish	Harmless	Least Concern 	LC	of no interest	NA	NA	NA	commercial	Freshwater	pelagic	potamodromous	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Osteoglossum-bicirrhosum.html	Osteoglossum bicirrhosum (Cuvier,  1829)	Arawana	Harmless	Not Evaluated	NA	commercial	NA	yes	NA	commercial	Freshwater	benthopelagic	NA	NA	NA	Tropical	6.0 kg	NA
https://www.fishbase.se/summary/Arapaima-gigas.html	Arapaima gigas (Schinz,  1822)	Arapaima	Harmless	Data deficient 	DD	commercial	commercial	yes	NA	public aquariums	Freshwater	demersal	NA	NA	NA	Tropical	200.0 kg	NA
https://www.fishbase.se/summary/Heterotis-niloticus.html	Heterotis niloticus (Cuvier,  1829)	African bonytongue	Potential pest 	Least Concern 	LC	commercial	commercial	NA	NA	commercial	Freshwater	pelagic	NA	1	NA	Tropical	10.2 kg	NA
https://www.fishbase.se/summary/Gnathonemus-petersii.html	Gnathonemus petersii (Günther,  1862)	Elephantnose fish	Harmless	Least Concern 	LC	subsistence fisheries	NA	NA	NA	commercial	Freshwater	demersal	NA	NA	NA	Tropical	NA	NA
