url	dist.FAO.Area	dist.Status
1	https://www.fishbase.se/Country/FaoAreaList.php?ID=2557&GenusName=Leucoraja&SpeciesName=erinacea&fc=19&StockCode=2753&Scientific=Leucoraja+erinacea	Atlantic, Northwest	native
2	https://www.fishbase.se/Country/FaoAreaList.php?ID=2557&GenusName=Leucoraja&SpeciesName=erinacea&fc=19&StockCode=2753&Scientific=Leucoraja+erinacea	Atlantic, Western Central	native
3	https://www.fishbase.se/Country/FaoAreaList.php?ID=4722&GenusName=Callorhinchus&SpeciesName=milii&fc=24&StockCode=4944&Scientific=Callorhinchus+milii	Indian Ocean, Eastern	native
4	https://www.fishbase.se/Country/FaoAreaList.php?ID=4722&GenusName=Callorhinchus&SpeciesName=milii&fc=24&StockCode=4944&Scientific=Callorhinchus+milii	Pacific, Southwest	native
5	https://www.fishbase.se/Country/FaoAreaList.php?ID=2063&GenusName=Latimeria&SpeciesName=chalumnae&fc=30&StockCode=2258&Scientific=Latimeria+chalumnae	Indian Ocean, Western	native
6	https://www.fishbase.se/Country/FaoAreaList.php?ID=2063&GenusName=Latimeria&SpeciesName=chalumnae&fc=30&StockCode=2258&Scientific=Latimeria+chalumnae	Pacific, Western Central	native
7	https://www.fishbase.se/Country/FaoAreaList.php?ID=4512&GenusName=Neoceratodus&SpeciesName=forsteri&fc=27&StockCode=4705&Scientific=Neoceratodus+forsteri	Oceania - Inland waters	endemic
8	https://www.fishbase.se/Country/FaoAreaList.php?ID=8734&GenusName=Protopterus&SpeciesName=aethiopicus&fc=552&StockCode=9056&Scientific=Protopterus+aethiopicus	Africa-Inland Waters	endemic
9	https://www.fishbase.se/Country/FaoAreaList.php?ID=4511&GenusName=Lepidosiren&SpeciesName=paradoxa&fc=28&StockCode=4706&Scientific=Lepidosiren+paradoxa	America, South - Inland waters	endemic
10	https://www.fishbase.se/Country/FaoAreaList.php?ID=6320&GenusName=Herichthys&SpeciesName=minckleyi&fc=349&StockCode=6633&Scientific=Herichthys+minckleyi	America, North - Inland waters	endemic
11	https://www.fishbase.se/Country/FaoAreaList.php?ID=4830&GenusName=Erpetoichthys&SpeciesName=calabaricus&fc=31&StockCode=5060&Scientific=Erpetoichthys+calabaricus	Africa-Inland Waters	endemic
12	https://www.fishbase.se/Country/FaoAreaList.php?ID=5024&GenusName=Polypterus&SpeciesName=senegalus&fc=31&StockCode=5259&Scientific=Polypterus+senegalus	Africa-Inland Waters	endemic
13	https://www.fishbase.se/Country/FaoAreaList.php?ID=8115&GenusName=Polypterus&SpeciesName=ornatipinnis&fc=31&StockCode=8426&Scientific=Polypterus+ornatipinnis	Africa-Inland Waters	endemic
