url	sci_name	common_name	habitat	threat_to_humans	human_uses	IUCN	IUCN_abr	physical_characters
1	https://www.fishbase.se/summary/Leucoraja-erinacea.html	Leucoraja erinacea (Mitchill,  1825)	Little skate	Marine;  demersal; oceanodromous (Ref. 51243); depth range 0 - 329 m (Ref. 5951).   Temperate; 49°N -   33°N, 78°W -   59°W (Ref. 55277)	Harmless	NA	Near Threatened 	NT	Maturity: Lm ?, range 32 -  43 cm Max length : 54.0 cm TL male/unsexed; (Ref. 1126); max. reported age: 12 years (Ref. 88929)
2	https://www.fishbase.se/summary/Callorhinchus-milii.html	Callorhinchus milii Bory de Saint-Vincent,  1823	Ghost shark	Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 0 - 227 m (Ref. 26346).   Subtropical; 33°S -   50°S	Harmless	Fisheries: commercial	Least Concern 	LC	Maturity: Lm71.0, range 70 - ? cm Max length : 125 cm TL male/unsexed; (Ref. 26346); common length : 75.0 cm TL male/unsexed; (Ref. 9258)
3	https://www.fishbase.se/summary/Latimeria-chalumnae.html	Latimeria chalumnae Smith,  1939	Coelacanth	Marine;  demersal; non-migratory; depth range 150 - 700 m (Ref. 38430), usually 180 - 250 m (Ref. 27564).   Deep-water; 13°C - 25°C (Ref. 38429); 3°S -   34°S, 25°E -   51°E (Ref. 46167)	Harmless	Fisheries: of no interest	Critically Endangered 	CR	Maturity: Lm150.0, range 145 -  160 cm Max length : 168 cm TL male/unsexed; (Ref. 30865); 200.0 cm TL (female); max. published weight: 95.0 kg (Ref. 26162); max. reported age: 48 years (Ref. 30865)
4	https://www.fishbase.se/summary/Neoceratodus-forsteri.html	Neoceratodus forsteri (Krefft,  1870)	Australian lungfish	Freshwater;  demersal; potamodromous (Ref. 51243).   Tropical; 22°C - 28°C (Ref. 2060); 24°S -   26°S	Harmless	Fisheries: subsistence fisheries	Not Evaluated	NA	Maturity: Lm83.4, range 81 - ? cm Max length : 170 cm TL male/unsexed; (Ref. 26188); common length : 100.0 cm TL male/unsexed; (Ref. 5259); max. published weight: 40.0 kg (Ref. 5259)
5	https://www.fishbase.se/summary/Protopterus-aethiopicus.html	Protopterus aethiopicus Heckel,  1851	Marbled lungfish	Freshwater;  demersal; depth range 0 - 60 m (Ref. 34291), usually 0 - 20 m (Ref. 34291).   Tropical; 25°C - 30°C (Ref. 2059)	Harmless	Fisheries: minor commercial	Least Concern 	LC	Maturity: Lm ?, range 70 -  76 cm Max length : 200 cm TL male/unsexed; (Ref. 34290); common length : 130 cm TL male/unsexed; (Ref. 34290); max. published weight: 17.0 kg (Ref. 13302)
6	https://www.fishbase.se/summary/Lepidosiren-paradoxa.html	Lepidosiren paradoxa Fitzinger,  1837	South American lungfish	Freshwater;  demersal.   Subtropical; 24°C - 28°C (Ref. 2060); 5°N -   35°S	Harmless	Fisheries: subsistence fisheries	Not Evaluated	NA	Maturity: Lm ?  range ? - ? cm Max length : 125 cm TL male/unsexed; (Ref. 36887); max. reported age: 8 years (Ref. 274)
7	https://www.fishbase.se/summary/Xenopus-tropicalis.html	NA	NA	NA	NA	NA	NA	NA	NA
8	https://www.fishbase.se/summary/Monodelphis-domestica.html	NA	NA	NA	NA	NA	NA	NA	NA
9	https://www.fishbase.se/summary/Mus-musculus.html	NA	NA	NA	NA	NA	NA	NA	NA
10	https://www.fishbase.se/summary/Homo-sapiens.html	NA	NA	NA	NA	NA	NA	NA	NA
