ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined/not examined	Monophyly
Leucoraja_erinacea_G01356	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Callorhinchus_milii_G01235	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Latimeria_chalumnae_G01347	Clade01a	Latimeriidae			Coelacanthiformes															Coelacanthimorpha	Sarcopterygii	Osteichthyes	Valid	Examined	Monotypic
Neoceratodus_forsteri_G01534	Clade01b	Neoceratodontidae		Ceratodontoidei	Ceratodontiformes														Dipnomorpha	Dipnotetrapodomorpha	Sarcopterygii	Osteichthyes	Valid	Examined	Monotypic
Protopterus_aethiopicus_annectens_G01451	Clade01b	Protopteridae		Lepidosirenoidei	Ceratodontiformes														Dipnomorpha	Dipnotetrapodomorpha	Sarcopterygii	Osteichthyes	Valid	Examined	Monotypic
Lepidosiren_paradoxa_G01352	Clade01b	Lepidosirenidae		Lepidosirenoidei	Ceratodontiformes														Dipnomorpha	Dipnotetrapodomorpha	Sarcopterygii	Osteichthyes	Valid	Examined	Monotypic
Xenopus_tropicalis_G01511	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Monodelphis_domestica_G01378	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Mus_musculus_G01382	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Homo_sapiens_G01328	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP	OUTGROUP
Erpetoichthys_calabaricus_G01288	Clade02	Polypteridae			Polypteriformes															Cladistia	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Polypterus_senegalus_G01446	Clade02	Polypteridae			Polypteriformes															Cladistia	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Polypterus_ornatipinnis_G01447	Clade02	Polypteridae			Polypteriformes															Cladistia	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Polyodon_spathula_G01445	Clade03	Polyodontidae			Acipenseriformes														Chondrostei	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Acipenser_fulvescens_G01187	Clade03	Acipenseridae			Acipenseriformes														Chondrostei	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Scaphirhynchus_platorynchus_G01477	Clade03	Acipenseridae			Acipenseriformes														Chondrostei	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Scaphirhynchus_albus_G01476	Clade03	Acipenseridae			Acipenseriformes														Chondrostei	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amia_calva_E00461	Clade04	Amiidae			Amiiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Atractosteus_spatula_G01214	Clade05	Lepisosteidae			Lepisosteiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Atractosteus_tropicus_G01215	Clade05	Lepisosteidae			Lepisosteiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Lepisosteus_platostomus_G01353	Clade05	Lepisosteidae			Lepisosteiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Lepisosteus_oculatus_G01354	Clade05	Lepisosteidae			Lepisosteiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Lepisosteus_osseus_E00993	Clade05	Lepisosteidae			Lepisosteiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Megalops_atlanticus_G01372	Clade06a	Megalopidae			Elopiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Elops_saurus_E00769	Clade06a	Elopidae			Elopiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Albula_glossodonta_G01192	Clade06b	Albulidae			Albuliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Albula_vulpes_E00501	Clade06b	Albulidae			Albuliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Notacanthus_chemnitzii_G01399	Clade06c	Notacanthidae			Notacanthiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Halosauropsis_macrochir_E00788	Clade06c	Halosauridae			Notacanthiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aldrovandia_affinis_G01193	Clade06c	Halosauridae			Notacanthiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Eurypharynx_pelecanoides_G01292	Clade06d	Eurypharyngidae			Anguilliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
Saccopharynx_ampullaceus_E01001	Clade06d	Saccopharyngidae			Anguilliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
