Group	FishBase_ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined_not_examined	Monophyly	fb_url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	foa_url	fao_area	fao_status
Abalistes_stellatus_E00936	Abalistes-stellatus	Clade42	Balistidae	NA	Balistoidei	Tetraodontiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abalistes-stellatus.html	Abalistes stellatus (Anonymous,  1798)	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	reef-associated	NA	7	350	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=58334&GenusName=Abalistes&SpeciesName=stellatus&fc=445&StockCode=48009&Scientific=Abalistes+stellatus	Indian Ocean, Eastern; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest	native
Abbottina_rivularis2_I2681-158	Abbottina-rivularis	Clade11d	Gobionidae	NA	Cyprinoidei	Cypriniformes	Cypriniphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abbottina-rivularis.html	Abbottina rivularis (Basilewsky,  1855)	Chinese false gudgeon	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Freshwater;brackish	benthopelagic	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=22903&GenusName=Abbottina&SpeciesName=rivularis&fc=122&StockCode=18177&Scientific=Abbottina+rivularis	Asia - Inland waters; Pacific, Northwest	native
Ablennes_hians_E00162	Ablennes-hians	Clade41	Belonidae	NA	Belonoidei	Beloniformes	Atherinomorphae	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Ablennes-hians.html	Ablennes hians (Valenciennes,  1846)	Flat needlefish	Harmless	Least Concern 	LC	minor commercial	NA	yes	NA	NA	Marine;brackish	reef-associated	oceanodromous	0	3	Subtropical	4.8 kg	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=972&GenusName=Ablennes&SpeciesName=hians&fc=207&StockCode=988&Scientific=Ablennes+hians	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast	native
Abramites_hypselonotus_P02_F10_RG26	Abramites-hypselonotus	Clade12b	Anostomidae	NA	Characoidei	Characiformes	Characiphysae	NA	NA	NA	NA	NA	Otophysa	NA	Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abramites-hypselonotus.html	Abramites hypselonotus (Günther,  1868)	Marbled headstander	Harmless	Not Evaluated	NA	subsistence fisheries	NA	NA	NA	commercial	Freshwater	pelagic	NA	NA	NA	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=10768&GenusName=Abramites&SpeciesName=hypselonotus&fc=559&StockCode=11091&Scientific=Abramites+hypselonotus	America, South - Inland waters	endemic
Abudefduf_saxatilis_E00820	Abudefduf-saxatilis	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-saxatilis.html	Abudefduf saxatilis (Linnaeus,  1758)	Sergeant-major	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Marine	reef-associated	non-migratory	0	20	Subtropical	200.00 g	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350&StockCode=1135&Scientific=Abudefduf+saxatilis	Atlantic, Northwest; Atlantic, Western Central; Atlantic, Eastern Central; Atlantic, Southwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Abudefduf_sexfasciatus_E00881	Abudefduf-sexfasciatus	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-sexfasciatus.html	Abudefduf sexfasciatus (Lacepède,  1801)	Scissortail sergeant	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	public aquariums	Marine	reef-associated	non-migratory	1	20	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&fc=350&StockCode=5981&Scientific=Abudefduf+sexfasciatus	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Pacific, Southeast	native
Abudefduf_vaigiensis_E00890	Abudefduf-vaigiensis	Clade41	Pomacentridae	NA	NA	Incertae sedis in Ovalentaria	NA	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Abudefduf-vaigiensis.html	Abudefduf vaigiensis (Quoy  &  Gaimard,  1825)	Indo-Pacific sergeant	Reports of ciguatera poisoning 	Least Concern 	LC	subsistence fisheries	NA	NA	NA	commercial	Marine	reef-associated	oceanodromous	1	15	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350&StockCode=6950&Scientific=Abudefduf+vaigiensis	Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Atlantic, Southeast; Mediterranean and Black Sea	native
Acanthaphritis_unoorum_N24985	Acanthaphritis-unoorum	Clade42	Percophidae	NA	NA	Pempheriformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Awaiting formal description	Examined	Monotypic	https://www.fishbase.se/summary/Acanthaphritis-unoorum.html	Acanthaphritis unoorum Suzuki  &  Nakabo,  1996	NA	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine	demersal	NA	NA	100	Tropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=59263&GenusName=Acanthaphritis&SpeciesName=unoorum&fc=370&StockCode=48991&Scientific=Acanthaphritis+unoorum	Pacific, Northwest	endemic
Acantharchus_pomotis_G01185	Acantharchus-pomotis	Clade42	Centrarchidae	NA	Centrarchoidei	Centrarchiformes	NA	NA	Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes	https://www.fishbase.se/summary/Acantharchus-pomotis.html	Acantharchus pomotis (Baird,  1855)	Mud sunfish	Harmless	Least Concern 	LC	NA	NA	NA	NA	NA	Freshwater	demersal	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=3357&GenusName=Acantharchus&SpeciesName=pomotis&fc=302&StockCode=3553&Scientific=Acantharchus+pomotis	America, North - Inland waters	endemic
Acanthemblemaria_aspera_E00320	Acanthemblemaria-aspera	Clade41	Chaenopsidae	NA	NA	Blenniiformes	Blenniimorphae	NA	Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies	https://www.fishbase.se/summary/Acanthemblemaria-aspera.html	Acanthemblemaria aspera (Longley,  1927)	Roughhead blenny	Harmless	Least Concern 	LC	NA	NA	NA	NA	commercial	Marine	reef-associated	NA	NA	NA	Subtropical	NA	NA	https://www.fishbase.se/Country/FaoAreaList.php?ID=3708&GenusName=Acanthemblemaria&SpeciesName=aspera&fc=483&StockCode=3904&Scientific=Acanthemblemaria+aspera	Atlantic, Western Central	endemic
