items	name	Clade	Family	Order
Abalistes_stellatus_E00936	Abalistes_stellatus_E00936	Clade42	Balistidae	Tetraodontiformes
Abbottina_rivularis2_I2681-158	Abbottina_rivularis2_I2681-158	Clade11d	Gobionidae	Cypriniformes
Ablennes_hians_E00162	Ablennes_hians_E00162	Clade41	Belonidae	Beloniformes
Abramites_hypselonotus_P02_F10_RG26	Abramites_hypselonotus_P02_F10_RG26	Clade12b	Anostomidae	Characiformes
Abudefduf_saxatilis_E00820	Abudefduf_saxatilis_E00820	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Abudefduf_sexfasciatus_E00881	Abudefduf_sexfasciatus_E00881	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Abudefduf_vaigiensis_E00890	Abudefduf_vaigiensis_E00890	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Acanthaphritis_unoorum_N24985	Acanthaphritis_unoorum_N24985	Clade42	Percophidae	Pempheriformes
Acantharchus_pomotis_G01185	Acantharchus_pomotis_G01185	Clade42	Centrarchidae	Centrarchiformes
Acanthemblemaria_aspera_E00320	Acanthemblemaria_aspera_E00320	Clade41	Chaenopsidae	Blenniiformes
Acanthemblemaria_paula_E00295	Acanthemblemaria_paula_E00295	Clade41	Chaenopsidae	Blenniiformes
Acanthicus_adonis_P02_B10_RG55	Acanthicus_adonis_P02_B10_RG55	Clade14a	Loricariidae	Siluriformes
Acanthocepola_sp_M01669	Acanthocepola_sp_M01669	Clade42	Cepolidae	Priacanthiformes
Acanthochaenus_luetkenii_M30097	Acanthochaenus_luetkenii_M30097	Clade32b	Stephanoberycidae	Beryciformes
Acanthochromis_polyacanthus_E00466	Acanthochromis_polyacanthus_E00466	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Acanthocobitis_botia_I2718-54	Acanthocobitis_botia_I2718-54	Clade11c	Nemacheilidae	Cypriniformes
Acanthocybium_solandri_E00927	Acanthocybium_solandri_E00927	Clade36	Scombridae	Scombriformes
Acanthodoras_spinosissimus_P02_C08_RG17	Acanthodoras_spinosissimus_P02_C08_RG17	Clade14c	Doradidae	Siluriformes
Acanthopagrus_catenula_E00953	Acanthopagrus_catenula_E00953	Clade42	Sparidae	Spariformes
Acanthopagrus_latus_M01638	Acanthopagrus_latus_M01638	Clade42	Sparidae	Spariformes
Acanthostracion_quadricornis_E00760	Acanthostracion_quadricornis_E00760	Clade42	Ostraciidae	Tetraodontiformes
Acanthurus_bahianus_E00005	Acanthurus_bahianus_E00005	Clade42	Acanthuridae	Acanthuriformes
Acanthurus_guttatus_E00709	Acanthurus_guttatus_E00709	Clade42	Acanthuridae	Acanthuriformes
Acanthurus_leucosternon_E00880	Acanthurus_leucosternon_E00880	Clade42	Acanthuridae	Acanthuriformes
Acanthurus_lineatus_E00889	Acanthurus_lineatus_E00889	Clade42	Acanthuridae	Acanthuriformes
Acanthurus_triostegus_E00711	Acanthurus_triostegus_E00711	Clade42	Acanthuridae	Acanthuriformes
Acantopsis_sp_I2577-JWA0327	Acantopsis_sp_I2577-JWA0327	Clade11c	Cobitidae	Cypriniformes
Acestrocephalus_ginesi_P1_B01_RG31	Acestrocephalus_ginesi_P1_B01_RG31	Clade12b	Characidae	Characiformes
Acestrorhynchus_microlepis_P1_H03_RG88	Acestrorhynchus_microlepis_P1_H03_RG88	Clade12b	Acestrorhynchidae	Characiformes
Acheilognathus_tonkinensis_I2578-CCS0001	Acheilognathus_tonkinensis_I2578-CCS0001	Clade11d	Acheilognathidae	Cypriniformes
Achirus_lineatus_E00605	Achirus_lineatus_E00605	Clade40	Achiridae	Pleuronectiformes
Acipenser_fulvescens_G01187	Acipenser_fulvescens_G01187	Clade03	Acipenseridae	Acipenseriformes
Acnodon_oligacantus_P02_A08_RG16	Acnodon_oligacantus_P02_A08_RG16	Clade12b	Serrasalmidae	Characiformes
Acreichthys_tomentosus_N21168	Acreichthys_tomentosus_N21168	Clade42	Monacanthidae	Tetraodontiformes
Acrobycon_ipanquianus_P3_C01_RG29	Acrobycon_ipanquianus_P3_C01_RG29	Clade12b	Characidae	Characiformes
Acrocheilus_alutaceus_I2582-AUF0194	Acrocheilus_alutaceus_I2582-AUF0194	Clade11d	Leuciscidae	Cypriniformes
Acropoma_japonicum_G01188	Acropoma_japonicum_G01188	Clade42	Acropomatidae	Pempheriformes
Acrossocheilus_monticola_I2663-96	Acrossocheilus_monticola_I2663-96	Clade11d	Cyprinidae	Cypriniformes
Adelosebastes_latens_E00066	Adelosebastes_latens_E00066	Clade42	Sebastidae	Perciformes
Adinia_xenica_E00173	Adinia_xenica_E00173	Clade41	Fundulidae	Cyprinodontiformes
Aeoliscus_strigatus	Aeoliscus_strigatus	Clade37	Centriscidae	Syngnathiformes
Aethaloperca_rogaa_E01079	Aethaloperca_rogaa_E01079	Clade42	Serranidae	Perciformes
Aethotaxis_mitopteryx_G01528	Aethotaxis_mitopteryx_G01528	Clade42	Nototheniidae	Perciformes
Ahliesaurus_berryi_E00661	Ahliesaurus_berryi_E00661	Clade23	Notosudidae	Aulopiformes
Akrokolioplax_bicornis_I2693-170	Akrokolioplax_bicornis_I2693-170	Clade11d	Cyprinidae	Cypriniformes
Albatrossia_pectoralis_E00360	Albatrossia_pectoralis_E00360	Clade29	Macrouridae	Gadiformes
Albula_glossodonta_G01192	Albula_glossodonta_G01192	Clade06b	Albulidae	Albuliformes
Albula_vulpes_E00501	Albula_vulpes_E00501	Clade06b	Albulidae	Albuliformes
Albulichthys_albuloides_I2648-128	Albulichthys_albuloides_I2648-128	Clade11d	Xenocyprididae	Cypriniformes
Alburnoides_bipunctatus_I2624-2	Alburnoides_bipunctatus_I2624-2	Clade11d	Leuciscidae	Cypriniformes
Alburnus_alburnus_I2696-175	Alburnus_alburnus_I2696-175	Clade11d	Leuciscidae	Cypriniformes
Aldrovandia_affinis_G01193	Aldrovandia_affinis_G01193	Clade06c	Halosauridae	Notacanthiformes
Alectis_ciliaris_E00469	Alectis_ciliaris_E00469	Clade40	Carangidae	Carangiformes
Alepisaurus_brevirostris_E00653	Alepisaurus_brevirostris_E00653	Clade23	Alepisauridae	Aulopiformes
Alepisaurus_ferox_E00965	Alepisaurus_ferox_E00965	Clade23	Alepisauridae	Aulopiformes
Alepocephalus_agassizii_G01194	Alepocephalus_agassizii_G01194	Clade09	Alepocephalidae	Alepocephaliformes
Alepocephalus_tenebrosus_E00358	Alepocephalus_tenebrosus_E00358	Clade09	Alepocephalidae	Alepocephaliformes
Alestopetersius_hilgendorfi_P3_D01_RG40	Alestopetersius_hilgendorfi_P3_D01_RG40	Clade12b	Alestidae	Characiformes
Alosa_pseudoharengus_G01195	Alosa_pseudoharengus_G01195	Clade08b	Clupeidae	Clupeiformes
Alticus_arnoldorum_E00989	Alticus_arnoldorum_E00989	Clade41	Blenniidae	Blenniiformes
Aluterus_scriptus_E00316	Aluterus_scriptus_E00316	Clade42	Monacanthidae	Tetraodontiformes
Amanses_scopas_E00536	Amanses_scopas_E00536	Clade42	Monacanthidae	Tetraodontiformes
Ambassis_agrammus_G01196	Ambassis_agrammus_G01196	Clade41	Ambassidae	Incertae sedis in Ovalentaria
Ambassis_interrupta_E01100	Ambassis_interrupta_E01100	Clade41	Ambassidae	Incertae sedis in Ovalentaria
Ambassis_urotaenia_G01197	Ambassis_urotaenia_G01197	Clade41	Ambassidae	Incertae sedis in Ovalentaria
Ambloplites_rupestris_E00392	Ambloplites_rupestris_E00392	Clade42	Centrarchidae	Centrarchiformes
Amblycirrhitus_pinos_E00314	Amblycirrhitus_pinos_E00314	Clade42	Cirrhitidae	Centrarchiformes
Amblyeleotris_guttata_E01043	Amblyeleotris_guttata_E01043	Clade38c	Gobiidae	Gobiiformes
Amblyeleotris_gymnocephala_E00409	Amblyeleotris_gymnocephala_E00409	Clade38c	Gobiidae	Gobiiformes
Amblyeleotris_wheeleri_E01073	Amblyeleotris_wheeleri_E01073	Clade38c	Gobiidae	Gobiiformes
Amblyglyphidodon_leucogaster_E00529	Amblyglyphidodon_leucogaster_E00529	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Amblygobius_decussatus_E00533	Amblygobius_decussatus_E00533	Clade38c	Gobiidae	Gobiiformes
Amblygobius_phalaena_E00736	Amblygobius_phalaena_E00736	Clade38c	Gobiidae	Gobiiformes
Amblypharyngodon_mola_I2632-26	Amblypharyngodon_mola_I2632-26	Clade11d	Danionidae	Cypriniformes
Amblyrhynchichthys_truncatus_I2649-129	Amblyrhynchichthys_truncatus_I2649-129	Clade11d	Cyprinidae	Cypriniformes
Ameiurus_nebulosus_P02_F07_RG33	Ameiurus_nebulosus_P02_F07_RG33	Clade14c	Ictaluridae	Siluriformes
Amia_calva_E00461	Amia_calva_E00461	Clade04	Amiidae	Amiiformes
Ammocrypta_beanii_E00187	Ammocrypta_beanii_E00187	Clade42	Percidae	Perciformes
Ammocrypta_meridiana_E00148	Ammocrypta_meridiana_E00148	Clade42	Percidae	Perciformes
Ammocrypta_pellucida_E00149	Ammocrypta_pellucida_E00149	Clade42	Percidae	Perciformes
Ammodytes_dubius_N02375	Ammodytes_dubius_N02375	Clade42	Ammodytidae	Uranoscopiformes
Ammodytes_hexapterus_E00414	Ammodytes_hexapterus_E00414	Clade42	Ammodytidae	Uranoscopiformes
Amphiprion_clarkii_E00196	Amphiprion_clarkii_E00196	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Amphiprion_ocellaris_E00193	Amphiprion_ocellaris_E00193	Clade41	Pomacentridae	Incertae sedis in Ovalentaria
Amphistichus_argenteus_E00129	Amphistichus_argenteus_E00129	Clade41	Embiotocidae	Incertae sedis in Ovalentaria
Anampses_lineatus_E00932	Anampses_lineatus_E00932	Clade42	Labridae	Labriformes
Anaora_tentaculata	Anaora_tentaculata	Clade37	Callionymidae	Syngnathiformes
Anarhichas_denticulatus_E00787	Anarhichas_denticulatus_E00787	Clade42	Anarhichadidae	Perciformes
Anarhichas_orientalis_lupus_E00117	Anarhichas_orientalis_lupus_E00117	Clade42	Anarhichadidae	Perciformes
Anarrhichthys_ocellatus_E00119	Anarrhichthys_ocellatus_E00119	Clade42	Anarhichadidae	Perciformes
Ancistrus_leucostictus_P1_G08_RG68	Ancistrus_leucostictus_P1_G08_RG68	Clade14a	Loricariidae	Siluriformes
Ancylopsetta_ommata_E00001	Ancylopsetta_ommata_E00001	Clade40	Paralichthyidae	Pleuronectiformes
Anguilla_rostrata_G01202	Anguilla_rostrata_G01202	Clade06d	Anguillidae	Anguilliformes
Anisotremus_surinamensis_N17175	Anisotremus_surinamensis_N17175	Clade42	Haemulidae	Lutjaniformes
Anisotremus_virginicus_E00200	Anisotremus_virginicus_E00200	Clade42	Haemulidae	Lutjaniformes
Anomalops_katoptron_M02573	Anomalops_katoptron_M02573	Clade31	Anomalopidae	Trachichthyiformes
Anoplocapros_lenticularis_G01533	Anoplocapros_lenticularis_G01533	Clade42	Aracanidae	Tetraodontiformes
Anoplogaster_cornuta_E00662	Anoplogaster_cornuta_E00662	Clade31	Anoplogastridae	Trachichthyiformes
Anoplopoma_fimbria_E00423	Anoplopoma_fimbria_E00423	Clade42	Anoplopomatidae	Perciformes
Anostomus_ternetzi_P1_A06_RG74	Anostomus_ternetzi_P1_A06_RG74	Clade12b	Anostomidae	Characiformes
Anotopterus_pharao_E00964	Anotopterus_pharao_E00964	Clade23	Alepisauridae	Aulopiformes
Antennatus_coccineus_E01092	Antennatus_coccineus_E01092	Clade42	Antennariidae	Lophiiformes
Antennatus_nummifer_E00587	Antennatus_nummifer_E00587	Clade42	Antennariidae	Lophiiformes
Anthias_nicholsi_E00447	Anthias_nicholsi_E00447	Clade42	Serranidae	Perciformes
Antigonia_capros_E01024	Antigonia_capros_E01024	Clade42	Caproidae	Caproiformes
Antigonia_rubescens_N05907	Antigonia_rubescens_N05907	Clade42	Caproidae	Caproiformes
Antimora_microlepis_E00419	Antimora_microlepis_E00419	Clade29	Moridae	Gadiformes
Antimora_rostrata_E00786	Antimora_rostrata_E00786	Clade29	Moridae	Gadiformes
Apareiodon_orinocoensis_P1_H06_RG49	Apareiodon_orinocoensis_P1_H06_RG49	Clade12b	Parodontidae	Characiformes
Apeltes_quadracus_E00791	Apeltes_quadracus_E00791	Clade42	Gasterosteidae	Perciformes
Aphanopus_carbo_E00274	Aphanopus_carbo_E00274	Clade36	Trichiuridae	Scombriformes
Aphareus_furca_E00563	Aphareus_furca_E00563	Clade42	Lutjanidae	Lutjaniformes
Aphredoderus_sayanus_E00151	Aphredoderus_sayanus_E00151	Clade26	Aphredoderidae	Percopsiformes
Aphyocharax_dentatus_P3_F05_RG58	Aphyocharax_dentatus_P3_F05_RG58	Clade12b	Characidae	Characiformes
Aplochiton_taeniatus_G01517	Aplochiton_taeniatus_G01517	Clade17	Galaxiidae	Galaxiiformes
Aplodactylus_arctidens_M01536	Aplodactylus_arctidens_M01536	Clade42	Aplodactylidae	Centrarchiformes
Aplodactylus_etheridgii_M01537	Aplodactylus_etheridgii_M01537	Clade42	Aplodactylidae	Centrarchiformes
Aplodinotus_grunniens_E01108	Aplodinotus_grunniens_E01108	Clade42	Sciaenidae	Incertae sedis in Eupercaria
Apogon_campbelli_E01069	Apogon_campbelli_E01069	Clade38a	Apogonidae	Kurtiformes
Apolemichthys_trimaculatus_E00839	Apolemichthys_trimaculatus_E00839	Clade42	Pomacanthidae	Incertae sedis in Eupercaria
Aporops_bilinearis_E00531	Aporops_bilinearis_E00531	Clade42	Serranidae	Perciformes
Aprion_virescens_E00828	Aprion_virescens_E00828	Clade42	Lutjanidae	Lutjaniformes
Apsilus_dentatus_E00770	Apsilus_dentatus_E00770	Clade42	Lutjanidae	Lutjaniformes
Apternotus_sp_P1_H12_RG56	Apternotus_sp_P1_H12_RG56	Clade13	Apteronotidae	Gymnotiformes
Apteronotus_albifrons_P1_C09_RG93	Apteronotus_albifrons_P1_C09_RG93	Clade13	Apteronotidae	Gymnotiformes
Aracana_aurita_G01205	Aracana_aurita_G01205	Clade42	Aracanidae	Tetraodontiformes
Arapaima_gigas_G01206	Arapaima_gigas_G01206	Clade07b	Osteoglossidae	Osteoglossiformes
Archamia_biguttata_E00522	Archamia_biguttata_E00522	Clade38a	Apogonidae	Kurtiformes
Archoplites_interruptus_N01722	Archoplites_interruptus_N01722	Clade42	Centrarchidae	Centrarchiformes
Archosargus_probatocephalus_E00249	Archosargus_probatocephalus_E00249	Clade42	Sparidae	Spariformes
Arcos_sp_E00102	Arcos_sp_E00102	Clade41	Gobiesocidae	Gobiesociformes
Argentina_sialis_silus_E00352	Argentina_sialis_silus_E00352	Clade16	Argentinidae	Argentiniformes
Argentina_striata_E01031	Argentina_striata_E01031	Clade16	Argentinidae	Argentiniformes
Argyropelecus_affinis_E00062	Argyropelecus_affinis_E00062	Clade21	Sternoptychidae	Stomiatiformes
Argyropelecus_gigas_G01207	Argyropelecus_gigas_G01207	Clade21	Sternoptychidae	Stomiatiformes
Argyrops_spinifer_M01668	Argyrops_spinifer_M01668	Clade42	Sparidae	Spariformes
Argyrozona_argyrozona_E00802	Argyrozona_argyrozona_E00802	Clade42	Sparidae	Spariformes
Ariomma_bondi_E01126	Ariomma_bondi_E01126	Clade36	Ariommatidae	Scombriformes
Ariomma_melanum_E00665	Ariomma_melanum_E00665	Clade36	Ariommatidae	Scombriformes
Aristostomias_scintillans_E00065	Aristostomias_scintillans_E00065	Clade21	Stomiidae	Stomiatiformes
Arnoglossus_blachei_E01160	Arnoglossus_blachei_E01160	Clade40	Bothidae	Pleuronectiformes
Arnoglossus_imperialis_E01163	Arnoglossus_imperialis_E01163	Clade40	Bothidae	Pleuronectiformes
Arothron_hispidus_E00985	Arothron_hispidus_E00985	Clade42	Tetraodontidae	Tetraodontiformes
Arothron_nigropunctatus_N31143	Arothron_nigropunctatus_N31143	Clade42	Tetraodontidae	Tetraodontiformes
Arrhamphus_sclerolepis_G01209	Arrhamphus_sclerolepis_G01209	Clade41	Hemiramphidae	Beloniformes
Arripis_georgianus_M01539	Arripis_georgianus_M01539	Clade36	Arripidae	Scombriformes
Arripis_trutta_M01540	Arripis_trutta_M01540	Clade36	Arripidae	Scombriformes
